,semana,of,descricao material,descricao consumo,ct
113,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
114,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
115,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
116,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
117,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
118,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
119,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
120,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
121,18,1600066485,"PL CC 8810/000 1030X530X10,0 NE",BL CC 8810/000 1030X530X210 NE,CNMLAMPL
122,18,1600052561,"PL CC 8826/000 915X610X4,5 NE",BL CC 8826/ORT 915X610X250 NE,CNMLAMPL
123,18,1600052561,"PL CC 8826/000 915X610X4,5 NE",BL CC 8826/ORT 915X610X250 NE,CNMLAMPL
124,18,1600072412,"PL CI 5608/000 915X610X5,8 NE",BL CI 5608/ORT 915X610X210 NE,CNMLAMPL
125,18,1600072412,"PL CI 5608/000 915X610X5,8 NE",BL CI 5608/ORT 915X610X210 NE,CNMLAMPL
126,18,1600072412,"PL CI 5608/000 915X610X5,8 NE",BL CI 5608/ORT 915X610X210 NE,CNMLAMPL
127,18,1600072412,"PL CI 5608/000 915X610X5,8 NE",BL CI 5608/ORT 915X610X210 NE,CNMLAMPL
128,18,1600072412,"PL CI 5608/000 915X610X5,8 NE",BL CI 5608/ORT 915X610X210 NE,CNMLAMPL
129,18,1600051041,"PL CI 5608/000 915X610X5,8 NE","PL CI 5608/000 915X610X5,8 NE",CNMLAMPL
130,18,1600051041,"PL CI 5608/000 915X610X5,8 NE","PL CI 5608/000 915X610X5,8 NE",CNMLAMPL
131,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
132,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
133,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
134,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
135,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
136,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
137,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
138,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
139,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
140,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
141,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
142,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
143,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
144,19,1600038389,"PL CC 8122/000 950X650X1,3 NE",BL CC 8122/000 950x650X200 NE,CNMLAMPL
145,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
146,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
147,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
148,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
149,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
150,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
151,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
152,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
153,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
154,19,1600066068,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
