Sum Quantity,,,
MaterialKey,MaterialName,Lot,Total
33000018,CT. TRIT N V - CRU VIRGEM,CORT210985,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211009,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211040,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211083,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211109,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211146,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211149,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211153,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211174,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211196,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211324,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211338,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211443,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211486,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211500,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211502,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211553,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211573,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211597,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211651,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211671,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211676,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211683,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211684,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211685,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211734,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211742,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211754,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211762,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211772,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211782,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211796,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211820,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211828,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211862,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211864,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211895,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211952,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT211979,0
